NO	YEAR	MONTH	DAY	HOUR	PM25	DEWPOINT	TEMP	PRESION	WIND_DIRECTION	WIND_SPEED	SNOW	RAIN	FECHA	FECHA_SIN_H
25	2010	1	2	0	129.0	-16	-4.0	1020.0	SE	1.79	0	0	2010-01-02 00:00:00	2010-01-02
26	2010	1	2	1	148.0	-15	-4.0	1020.0	SE	2.68	0	0	2010-01-02 01:00:00	2010-01-02
27	2010	1	2	2	159.0	-11	-5.0	1021.0	SE	3.57	0	0	2010-01-02 02:00:00	2010-01-02
28	2010	1	2	3	181.0	-7	-5.0	1022.0	SE	5.36	1	0	2010-01-02 03:00:00	2010-01-02
29	2010	1	2	4	138.0	-7	-5.0	1022.0	SE	6.25	2	0	2010-01-02 04:00:00	2010-01-02
30	2010	1	2	5	109.0	-7	-6.0	1022.0	SE	7.14	3	0	2010-01-02 05:00:00	2010-01-02
31	2010	1	2	6	105.0	-7	-6.0	1023.0	SE	8.93	4	0	2010-01-02 06:00:00	2010-01-02
32	2010	1	2	7	124.0	-7	-5.0	1024.0	SE	10.72	0	0	2010-01-02 07:00:00	2010-01-02
33	2010	1	2	8	120.0	-8	-6.0	1024.0	SE	12.51	0	0	2010-01-02 08:00:00	2010-01-02
34	2010	1	2	9	132.0	-7	-5.0	1025.0	SE	14.3	0	0	2010-01-02 09:00:00	2010-01-02
35	2010	1	2	10	140.0	-7	-5.0	1026.0	SE	17.43	1	0	2010-01-02 10:00:00	2010-01-02
36	2010	1	2	11	152.0	-8	-5.0	1026.0	SE	20.56	0	0	2010-01-02 11:00:00	2010-01-02
37	2010	1	2	12	148.0	-8	-5.0	1026.0	SE	23.69	0	0	2010-01-02 12:00:00	2010-01-02
38	2010	1	2	13	164.0	-8	-5.0	1025.0	SE	27.71	0	0	2010-01-02 13:00:00	2010-01-02
39	2010	1	2	14	158.0	-9	-5.0	1025.0	SE	31.73	0	0	2010-01-02 14:00:00	2010-01-02
40	2010	1	2	15	154.0	-9	-5.0	1025.0	SE	35.75	0	0	2010-01-02 15:00:00	2010-01-02
41	2010	1	2	16	159.0	-9	-5.0	1026.0	SE	37.54	0	0	2010-01-02 16:00:00	2010-01-02
42	2010	1	2	17	164.0	-8	-5.0	1027.0	SE	39.33	0	0	2010-01-02 17:00:00	2010-01-02
43	2010	1	2	18	170.0	-8	-5.0	1027.0	SE	42.46	0	0	2010-01-02 18:00:00	2010-01-02
44	2010	1	2	19	149.0	-8	-5.0	1028.0	SE	44.25	0	0	2010-01-02 19:00:00	2010-01-02
45	2010	1	2	20	154.0	-7	-5.0	1028.0	SE	46.04	0	0	2010-01-02 20:00:00	2010-01-02
46	2010	1	2	21	164.0	-7	-5.0	1027.0	SE	49.17	1	0	2010-01-02 21:00:00	2010-01-02
47	2010	1	2	22	156.0	-8	-6.0	1028.0	SE	52.3	2	0	2010-01-02 22:00:00	2010-01-02
48	2010	1	2	23	126.0	-8	-6.0	1027.0	SE	55.43	3	0	2010-01-02 23:00:00	2010-01-02
49	2010	1	3	0	90.0	-7	-6.0	1027.0	SE	58.56	4	0	2010-01-03 00:00:00	2010-01-03
50	2010	1	3	1	63.0	-8	-6.0	1026.0	SE	61.69	5	0	2010-01-03 01:00:00	2010-01-03
51	2010	1	3	2	65.0	-8	-7.0	1026.0	SE	65.71	6	0	2010-01-03 02:00:00	2010-01-03
52	2010	1	3	3	55.0	-8	-7.0	1025.0	SE	68.84	7	0	2010-01-03 03:00:00	2010-01-03
53	2010	1	3	4	65.0	-8	-7.0	1024.0	SE	72.86	8	0	2010-01-03 04:00:00	2010-01-03
54	2010	1	3	5	83.0	-9	-8.0	1024.0	SE	76.88	9	0	2010-01-03 05:00:00	2010-01-03
55	2010	1	3	6	91.0	-10	-8.0	1024.0	SE	80.9	10	0	2010-01-03 06:00:00	2010-01-03
56	2010	1	3	7	86.0	-10	-9.0	1024.0	SE	84.92	11	0	2010-01-03 07:00:00	2010-01-03
57	2010	1	3	8	82.0	-10	-9.0	1024.0	SE	89.84	12	0	2010-01-03 08:00:00	2010-01-03
58	2010	1	3	9	86.0	-11	-9.0	1023.0	SE	93.86	13	0	2010-01-03 09:00:00	2010-01-03
59	2010	1	3	10	78.0	-11	-9.0	1023.0	SE	97.88	15	0	2010-01-03 10:00:00	2010-01-03
60	2010	1	3	11	98.0	-11	-9.0	1022.0	SE	102.8	16	0	2010-01-03 11:00:00	2010-01-03
61	2010	1	3	12	107.0	-11	-9.0	1021.0	SE	105.93	17	0	2010-01-03 12:00:00	2010-01-03
